"id","cpf","produto1","produto2","produto3","produto4","produto5","produto6","produto7","produto8","produto9","produto10"
1,"109.861.250-75","Coca cola 600ml","Pão","Chocolate branco","Bis","Sucrilhos","Pão de alho","Carne de frango","Arroz","Feijão","Leite",	
2,"589.569.840-93","","","","","","","","","","",
3,"105.332.420-02","","","","","","","","","","",
4,"246.269.810-89","","","","","","","","","","",
5,"211.952.200-65","","","","","","","","","","",
6,"618.797.000-42","","","","","","","","","","",
7,"306.341.550-24","","","","","","","","","","",
8,"249.551.050-76","","","","","","","","","","",
9,"039.801.360-86","","","","","","","","","","",
10,"175.833.350-41","","","","","","","","","","",
